"card_id","card_name","category","subtype","attack_range","use_timing","trigger_timing","target_rule","response_card","base_effect","damage_amount","damage_type","use_limit","specific_timing","inherits_generic_timing","base_use_limit","inherits_generic_use_limit","response_only","skill_override_allowed","can_recast","equipment_slot","delayed_trick","placement_zone","judgment_condition","success_effect","failure_effect","transfer_rule","skipped_phase","confidence_status","source_type","notes","use_context","default_timing","response_window","can_be_responded_by_card","can_be_invalidated_by_skill","counts_as_used_if_invalidated","effect_resolved_if_invalidated","after_resolution_trigger_if_invalidated","inherits_generic_rule","use_modes","is_static_damage_card","is_damage_trick","is_normal_trick","is_delayed_trick","target_template","distance_rule_source","uses_attack_range","can_target_self","converted_slash_uses_limit","wufei_source_replacement_eligible"
"sgs_delayed_bingliang","兵粮寸断","锦囊牌","延时锦囊","","出牌阶段","判定阶段即将判定、决定是否生效之前","判定区内没有【兵粮寸断】且与使用者实际距离为1的一名其他角色","无懈可击","置入目标判定区；结算时先处理无懈时机，未被抵消再判定","","","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","是","目标角色的判定区","判定结果不为梅花","目标跳过摸牌阶段，结算后置入弃牌堆","判定为梅花时不跳过摸牌阶段，结算后置入弃牌堆","被无懈或判定完成后置入弃牌堆；不转移","摸牌阶段","当前确认","用户整理并修订的规则说明","选择目标时检查同名延时锦囊，技能直接置入也不得形成同名共存；目标限制检查经过座次、坐骑及其他距离修正后的实际距离，武器攻击范围不影响该限制；刚进入判定区时不能无懈；被无懈后不判定、不跳过阶段并置入弃牌堆；若角色跳过整个判定阶段，本回合不进入无懈或判定流程，本牌继续留在原判定区；置入弃牌堆不自动等同于某角色执行弃置","","","","","","","","","","","false","false","false","true","one_other_character","actual_distance_1","false","false","","false"
"sgs_delayed_shandian","闪电","锦囊牌","延时锦囊","","出牌阶段","判定阶段即将判定、决定是否生效之前","自己；自己的判定区内没有【闪电】","无懈可击","置入自己的判定区；结算时先处理无懈时机，未被抵消再判定","3","雷属性","无基础每回合次数限制","","trick_play_phase","unlimited","true","false","true","","","是","当前结算角色的判定区","判定结果为黑桃2至9","当前角色受到3点雷属性伤害，完整结算后置入弃牌堆","未命中时不造成该伤害并移至下家判定区","被无懈或判定未命中时移至下家判定区；判定命中后置入弃牌堆","","当前确认","用户整理并修订的规则说明","选择使用或技能直接置入时不得形成同名延时锦囊共存；刚进入判定区时不能无懈；被无懈后不判定、不造成伤害并转移；若角色跳过整个判定阶段，本回合不进入无懈或判定流程，本牌继续留在原判定区；该伤害没有伤害来源；下家按结算时当前存活角色环沿座次数递增方向的下一名角色确定，跳过死亡座次；置入弃牌堆不自动等同于弃置","","","","","","","","","","","true","true","false","true","self","card_definition","false","true","","false"
"sgs_weapon_zhugeliannu","诸葛连弩","装备牌","武器","1","自己的出牌阶段主动装备","使用“杀”时","自己","不适用（装备牌使用本身无普通卡牌响应窗口）","使用“杀”无次数限制","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","当前确认","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-08，移动版）","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_qinggangjian","青釭剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”指定目标时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","无视目标防具","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","仅限使用“杀”时无视，不代表其他结算也无视；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_hanbingjian","寒冰剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”将要造成伤害时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可以防止此伤害并弃置目标2张牌","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","无论原伤害多少，发动一次只弃2张；目标仅有1张时只弃1张；没有牌时无法弃牌；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_cixiongshuanggujian","雌雄双股剑","装备牌","武器","2","自己的出牌阶段主动装备","使用“杀”指定一名异性角色为目标时","该异性目标","不适用（装备牌使用本身无普通卡牌响应窗口）","目标选择令使用者摸1张牌，或自己弃置1张牌","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_gudingdao","古锭刀","装备牌","武器","2","自己的出牌阶段主动装备","对没有手牌的角色使用“杀”时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","该“杀”伤害+1","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","当前确认","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-08，移动版）","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_qinglongyanyuedao","青龙偃月刀","装备牌","武器","3","自己的出牌阶段主动装备","使用的“杀”被【闪】响应后","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可继续对该目标使用一张“杀”","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_guanshifu","贯石斧","装备牌","武器","3","自己的出牌阶段主动装备","使用的“杀”被【闪】响应后","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可弃置2张牌，使此“杀”强制造成伤害","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","当前确认","用户整理并修订的规则说明","弃置成本可由两张手牌、两张装备或一张手牌加一张装备组成；不能选择判定区内的牌；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_zhangbashemao","丈八蛇矛","装备牌","武器","3","自己的出牌阶段主动装备","需要使用或打出“杀”时","按转化后的“杀”确定","按转化后的“杀”确定","将2张手牌当作普通【杀】使用或打出","","无属性（可被其他效果转换）","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","当前确认","用户整理并修订的规则说明","两张均红则转化杀为红色；均黑则为黑色；一红一黑则无色；无论原牌颜色、花色和点数如何，转化出的普通【杀】均无花色、无点数，不得继承、合计或另行生成；默认造成无属性伤害，其他效果明确转换时例外；颜色、花色、点数和伤害属性分别记录；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_fangtianhuaji","方天画戟","装备牌","武器","4","自己的出牌阶段主动装备","使用“杀”且该“杀”是最后一张手牌时","至多3个目标","不适用（装备牌使用本身无普通卡牌响应窗口）","该“杀”可指定至多3个目标","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_zhuqueyushan","朱雀羽扇","装备牌","武器","4","自己的出牌阶段主动装备","使用普通【杀】指定目标时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可将普通【杀】转为【火杀】","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","转化后的伤害按【火杀】处理；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_weapon_qilingong","麒麟弓","装备牌","武器","5","自己的出牌阶段主动装备","使用“杀”对目标造成伤害时","该“杀”的目标","不适用（装备牌使用本身无普通卡牌响应窗口）","可以弃置目标装备区的一张坐骑牌","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","武器","","装备区","","","","","","当前确认","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-08，移动版）","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_armor_baguazhen","八卦阵","装备牌","防具","","自己的出牌阶段主动装备","需要使用或打出【闪】时","自己","闪","进行一次判定；红色时视为使用或打出一张【闪】，动作类型继承当前响应对象","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果未明示次数限制时每次满足条件均可发动","","","unlimited","true","false","true","","防具","","装备区","判定结果为红色","视为使用或打出一张【闪】，且只生成当前窗口要求的一类事件","","","","当前确认","用户整理并修订的规则说明","结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；装备技能判红产生虚拟【闪】，响应杀时只生成card_used，响应【万箭齐发】时只生成card_played；两种均计入【蒺藜】，只有前者进入第一张使用牌检查；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_armor_renwangdun","仁王盾","装备牌","防具","","自己的出牌阶段主动装备","黑色的“杀”对你生效时","自己","不适用（装备牌使用本身无普通卡牌响应窗口）","黑色的“杀”对你无效","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","防具","","装备区","","","","","","当前确认","用户整理并修订的规则说明","丈八蛇矛由不同颜色牌转化的无色【杀】不能被仁王盾防住；无色【杀】不因仁王盾而无效；某些“视为使用【杀】”可能没有颜色；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；卡面正式文本已由用户提供并确认（IN_GAME_CARD_TEXT_CONFIRMED，2026-08-09，移动版军争卡组/卡牌说明截图）","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_armor_baiyinshizi","白银狮子","装备牌","防具","","自己的出牌阶段主动装备","将受到2点及以上伤害时；离开装备区时","自己","不适用（装备牌使用本身无普通卡牌响应窗口）","将无属性、火属性或雷属性的2点及以上伤害改为1点；以任何方式离开装备区时恢复1点体力","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","防具","","装备区","","","","","","当前确认","用户整理并修订的规则说明","适用于有来源、无来源及铁索传导伤害；失去体力不属于伤害；被弃置、获得、替换、移动或因其他效果离开装备区均恢复1点体力，且不超过体力上限；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_armor_tengjia","藤甲","装备牌","防具","","自己的出牌阶段主动装备","相关牌即将对你生效时；受到火属性伤害时","自己","不适用（装备牌使用本身无普通卡牌响应窗口）","普通【杀】、【南蛮入侵】和【万箭齐发】对你无效；受到火属性伤害时伤害+1","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","防具","","装备区","","","","","","当前确认","用户整理并修订的规则说明","普通【杀】须在藤甲无效判定前已转为属性【杀】才可绕过；仅在伤害阶段转换属性不能令已无效的普通【杀】恢复生效；南蛮或万箭即使之后转换伤害属性仍无效，除非防具被无视、失效或离开装备区；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_mount_offensive","攻击坐骑（-1坐骑）","装备牌","坐骑","","自己的出牌阶段主动装备","","自己计算与其他角色的距离","不适用（装备牌使用本身无普通卡牌响应窗口）","你计算与其他角色的距离时-1","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","攻击坐骑","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","只单向影响你到其他角色的距离；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；具名映射：紫骍、赤兔、大宛","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
"sgs_mount_defensive","防御坐骑（+1坐骑）","装备牌","坐骑","","自己的出牌阶段主动装备","","其他角色计算与你的距离","不适用（装备牌使用本身无普通卡牌响应窗口）","其他角色计算与你的距离时+1","","","主动装备无基础每回合或每个出牌阶段次数限制；装备后效果独立限制按具体条目","","","unlimited","true","false","true","","防御坐骑","","装备区","","","","","","用户整理解释","用户整理并修订的规则说明","不影响你计算与其他角色的距离；结构化使用字段描述主动装备：无基础次数限制、无普通卡牌响应窗口；技能明确无效时仍算已使用但不进入装备区、不触发装备成功或结算后事件，实体牌去向按具体无效化规则；装备效果未明示次数限制时，每次满足触发与支付条件均可发动或生效；程序硬上限不是规则限制；具名映射：骅骝、的卢、爪黄飞电、绝影","equip","own_play_phase","none","false","true","true","false","false","true","","false","","","","","","","","","false"
